state,cod_ibge_7,cod_tse,mun_name_ibge,mun_name_tse
ro,1100015,00310,alta floresta d'oeste,alta floresta do oeste
ro,1100023,00078,ariquemes,ariquemes
ro,1100031,00450,cabixi,cabixi
ro,1100049,00094,cacoal,cacoal
ro,1100056,00272,cerejeiras,cerejeiras
ro,1100064,00230,colorado do oeste,colorado do oeste
ro,1100072,00655,corumbiara,corumbiara
ro,1100080,00213,costa marques,costa marques
ro,1100098,00256,espigao d'oeste,espigao do oeste
ro,1100106,00019,guajara-mirim,guajara-mirim
ro,1100114,00159,jaru,jaru
ro,1100122,00051,ji-parana,ji-parana
ro,1100130,00396,machadinho d'oeste,machadinho do oeste
ro,1100148,00370,nova brasilandia d'oeste,nova brasilandia do oeste
ro,1100155,00175,ouro preto do oeste,ouro preto do oeste
ro,1100189,00116,pimenta bueno,pimenta bueno
ro,1100205,00035,porto velho,porto velho
ro,1100254,00191,presidente medici,presidente medici
ro,1100262,00647,rio crespo,rio crespo
ro,1100288,00299,rolim de moura,rolim de moura
ro,1100296,00353,santa luzia d'oeste,santa luzia do oeste
ro,1100304,00132,vilhena,vilhena
ro,1100320,00418,sao miguel do guapore,sao miguel do guapore
ro,1100338,00434,nova mamore,nova mamore
ro,1100346,00337,alvorada d'oeste,alvorada do oeste
ro,1100379,00736,alto alegre dos parecis,alto alegre dos parecis
ro,1100403,00639,alto paraiso,alto paraiso
ro,1100452,00779,buritis,buritis
ro,1100502,00515,novo horizonte do oeste,novo horizonte do oeste
ro,1100601,00620,cacaulandia,cacaulandia
ro,1100700,00671,campo novo de rondonia,campo novo de rondonia
ro,1100809,00477,candeias do jamari,candeias do jamari
ro,1100908,00531,castanheiras,castanheiras
ro,1100924,00809,chupinguaia,chupinguaia
ro,1100940,00680,cujubim,cujubim
ro,1101005,00612,governador jorge teixeira,governador jorge teixeira
ro,1101104,00493,itapua do oeste,itapua do oeste
ro,1101203,00604,ministro andreazza,ministro andreazza
ro,1101302,00574,mirante da serra,mirante da serra
ro,1101401,00663,monte negro,monte negro
ro,1101435,00744,nova uniao,nova uniao
ro,1101450,00701,parecis,parecis
ro,1101468,00787,pimenteiras do oeste,pimenteiras do oeste
ro,1101476,00728,primavera de rondonia,primavera de rondonia
ro,1101484,00710,sao felipe d'oeste,sao felipe do oeste
ro,1101492,00795,sao francisco do guapore,sao francisco do guapore
ro,1101500,00582,seringueiras,seringueiras
ro,1101559,00752,teixeiropolis,teixeiropolis
ro,1101609,00590,theobroma,theobroma
ro,1101708,00566,urupa,urupa
ro,1101757,00698,vale do anari,vale do anari
ro,1101807,00558,vale do paraiso,vale do paraiso
ac,1200013,01120,acrelandia,acrelandia
ac,1200054,01570,assis brasil,assis brasil
ac,1200104,01058,brasileia,brasileia
ac,1200138,01007,bujari,bujari
ac,1200179,01015,capixaba,capixaba
ac,1200203,01074,cruzeiro do sul,cruzeiro do sul
ac,1200252,01112,epitaciolandia,epitaciolandia
ac,1200302,01139,feijo,feijo
ac,1200328,01104,jordao,jordao
ac,1200336,01090,mancio lima,mancio lima
ac,1200344,01554,manoel urbano,manoel urbano
ac,1200351,01040,marechal thaumaturgo,marechal thaumaturgo
ac,1200385,01511,placido de castro,placido de castro
ac,1200393,01066,porto walter,porto walter
ac,1200401,01392,rio branco,rio branco
ac,1200427,01082,rodrigues alves,rodrigues alves
ac,1200435,01031,santa rosa do purus,santa rosa do purus
ac,1200450,01538,senador guiomard,senador guiomard
ac,1200500,01457,sena madureira,sena madureira
ac,1200609,01473,tarauaca,tarauaca
ac,1200708,01490,xapuri,xapuri
ac,1200807,01023,porto acre,porto acre
am,1300029,02895,alvaraes,alvaraes
am,1300060,02917,amatura,amatura
am,1300086,02933,anama,anama
am,1300102,02038,anori,anori
am,1300144,02003,apui,apui
am,1300201,02054,atalaia do norte,atalaia do norte
am,1300300,02070,autazes,autazes
am,1300409,02097,barcelos,barcelos
am,1300508,02119,barreirinha,barreirinha
am,1300607,02135,benjamin constant,benjamin constant
am,1300631,02950,beruri,beruri
am,1300680,02976,boa vista do ramos,boa vista do ramos
am,1300706,02151,boca do acre,boca do acre
am,1300805,02178,borba,borba
am,1300839,02992,caapiranga,caapiranga
am,1300904,02194,canutama,canutama
am,1301001,02216,carauari,carauari
am,1301100,02232,careiro,careiro
am,1301159,02046,careiro da varzea,careiro da varzea
am,1301209,02259,coari,coari
am,1301308,02275,codajas,codajas
am,1301407,02291,eirunepe,eirunepe
am,1301506,02313,envira,envira
am,1301605,02330,fonte boa,fonte boa
am,1301654,02020,guajara,guajara
am,1301704,02356,humaita,humaita
am,1301803,02399,ipixuna,ipixuna
am,1301852,98353,iranduba,iranduba
am,1301902,02410,itacoatiara,itacoatiara
am,1301951,98370,itamarati,itamarati
am,1302009,02437,itapiranga,itapiranga
am,1302108,02453,japura,japura
am,1302207,02470,jurua,jurua
am,1302306,02496,jutai,jutai
am,1302405,02518,labrea,labrea
am,1302504,02534,manacapuru,manacapuru
am,1302553,98396,manaquiri,manaquiri
am,1302603,02550,manaus,manaus
am,1302702,02577,manicore,manicore
am,1302801,02593,maraa,maraa
am,1302900,02615,maues,maues
am,1303007,02631,nhamunda,nhamunda
am,1303106,02658,nova olinda do norte,nova olinda do norte
am,1303205,02011,novo airao,novo airao
am,1303304,02674,novo aripuana,novo aripuana
am,1303403,02690,parintins,parintins
am,1303502,02712,pauini,pauini
